Data,Vento0,Vento1,Vento2,Vento3,Vento4,Vento5,Vento6,Vento7,Vento8,Vento9,Vento10,Vento11,Vento12,Vento13,Vento14,Vento15,Vento16,Vento17,Vento18,Vento19,Vento20,Vento21,Vento22,Vento23
17-FEV-2012,3.6,2.5,2.6,3.3,2.7,1.9,1.7,2.0,3.2,2.0,1.5,1.9,1.8,3.5,3.9,2.6,3.4,3.3,3.5,3.2,1.5,1.6,1.1,3.5
18-FEV-2012,1.2,2.3,1.7,0.9,1.3,1.4,1.0,0.9,2.1,1.8,0.9,2.6,2.2,2.4,2.6,1.8,2.3,7.4,1.1,2.6,2.3,1.3,1.7,1.2
19-FEV-2012,2.0,1.4,0.7,1.5,1.9,2.2,1.3,1.1,1.5,0.7,0.5,1.0,1.6,1.6,2.3,3.6,3.8,2.5,3.4,2.0,2.5,0.6,3.1,2.0
20-FEV-2012,2.1,1.8,2.5,2.9,1.9,1.1,1.8,1.4,1.2,1.3,1.7,1.9,2.6,2.2,4.4,3.8,3.2,3.6,3.3,5.3,1.4,1.3,1.5,3.7
21-FEV-2012,2.0,2.6,1.2,1.4,1.6,2.1,1.5,0.9,1.2,2.0,1.0,1.7,2.6,2.4,3.3,3.7,3.2,3.8,2.5,3.1,6.7,1.7,0.8,1.4
22-FEV-2012,3.1,1.7,1.9,1.5,2.5,1.6,1.4,1.6,1.4,1.4,3.0,2.4,3.5,3.6,3.1,3.9,3.9,3.4,2.9,3.8,3.3,1.7,1.1,3.0
23-FEV-2012,3.9,2.3,1.9,2.2,1.8,2.1,1.2,2.2,1.7,1.1,2.0,4.3,3.4,4.1,3.9,3.4,2.6,2.9,2.8,3.2,3.6,2.7,2.9,1.2
24-FEV-2012,1.5,2.0,2.3,2.1,1.0,1.3,1.8,1.4,1.2,0.9,1.3,2.2,2.5,3.1,2.2,2.7,2.5,2.1,1.2,2.7,1.5,3.1,2.0,0.8
25-FEV-2012,0.6,1.5,1.3,2.6,2.3,2.1,1.4,1.7,1.3,1.3,1.9,1.8,2.9,2.0,2.4,1.4,1.8,1.6,1.7,3.5,1.4,1.0,2.2,1.2
26-FEV-2012,1.5,0.8,2.4,1.0,0.8,1.4,1.1,1.5,1.5,1.5,2.7,1.5,2.5,2.5,2.1,1.8,1.9,2.3,2.4,2.7,2.4,2.1,5.0,1.5
27-FEV-2012,1.8,0.9,1.9,2.2,1.4,0.9,0.8,1.0,1.1,0.7,1.5,2.5,1.9,1.7,2.7,2.8,1.8,2.7,4.1,2.0,1.4,2.8,1.6,4.1
28-FEV-2012,1.8,1.0,1.1,1.3,0.5,1.8,1.9,1.7,0.9,1.0,0.6,1.8,2.1,3.3,2.4,2.5,2.2,1.7,0.9,2.1,1.2,0.5,2.5,1.8
29-FEV-2012,0.8,1.3,1.5,1.8,1.3,2.0,1.1,1.8,1.7,1.5,2.2,3.7,2.8,4.3,4.3,3.4,2.3,3.7,1.6,1.7,1.9,2.9,1.9,2.1
01-MAR-2012,3.5,3.5,2.3,3.0,2.7,1.8,1.9,2.2,1.6,1.2,1.8,3.9,4.2,4.4,5.2,5.0,2.8,3.5,3.1,3.7,4.2,1.5,1.5,2.0
02-MAR-2012,2.9,4.1,2.4,3.0,3.3,0.9,1.9,0.9,2.7,1.4,1.3,2.8,3.7,3.6,2.8,2.8,3.1,4.0,2.3,3.5,2.2,1.1,0.2,1.5
03-MAR-2012,2.0,2.3,3.4,2.1,1.6,2.2,2.0,1.5,1.9,1.0,2.2,3.3,3.0,4.1,3.7,3.3,4.0,3.6,2.6,3.1,2.8,1.8,1.5,1.1
04-MAR-2012,1.6,3.4,2.5,1.6,1.8,1.8,1.3,1.6,1.1,1.1,1.4,2.5,2.9,2.5,2.9,4.2,2.0,1.7,1.4,1.8,2.3,0.6,0.6,1.1
05-MAR-2012,1.6,1.0,1.8,1.5,1.2,1.7,2.9,2.6,1.2,1.3,1.4,3.0,2.2,3.2,3.1,2.3,2.6,3.8,1.0,1.5,1.1,5.4,3.3,2.9
06-MAR-2012,0.9,2.1,1.9,1.7,2.1,2.3,2.1,1.4,1.2,1.4,1.2,1.2,2.4,2.3,1.7,3.3,1.4,3.9,1.9,1.8,1.7,1.9,1.8,2.4
07-MAR-2012,1.6,2.0,1.9,2.5,1.3,2.3,1.0,1.2,1.6,1.7,2.2,2.8,2.7,3.4,3.2,2.9,2.3,2.3,2.0,2.7,1.1,1.0,3.4,3.9
08-MAR-2012,2.0,1.9,1.8,2.4,3.0,2.4,1.4,2.2,1.7,1.4,1.4,2.1,1.8,1.4,2.2,3.3,1.6,1.9,1.4,0.9,1.0,0.7,0.3,0.8
09-MAR-2012,1.2,2.4,3.5,3.8,1.5,3.0,1.4,1.6,1.6,1.9,1.6,2.8,3.1,2.9,2.4,3.1,4.0,3.5,3.7,2.6,0.7,0.5,1.4,2.0
10-MAR-2012,2.1,2.0,2.6,3.3,2.4,2.3,0.8,0.5,0.5,0.7,1.9,3.8,4.0,3.6,3.4,2.3,2.3,1.6,1.9,2.1,1.8,1.9,1.7,3.1
11-MAR-2012,3.2,3.6,3.2,2.2,2.6,2.5,2.6,1.6,0.7,1.4,2.1,2.8,4.6,2.9,2.1,2.8,2.3,2.6,2.5,2.5,2.1,0.3,0.4,0.9
12-MAR-2012,1.8,1.9,1.8,1.1,2.8,1.6,2.1,2.0,1.7,1.3,1.4,2.1,2.9,2.8,3.1,1.8,3.3,2.0,2.0,1.7,1.3,3.8,1.7,0.5
13-MAR-2012,1.3,2.1,2.4,1.9,3.0,1.7,1.3,2.1,2.5,1.3,2.4,3.3,3.2,2.7,3.6,2.6,1.9,2.4,1.9,2.8,2.1,0.3,0.3,1.3
14-MAR-2012,2.7,2.8,2.4,1.8,2.9,2.2,3.2,1.9,1.9,1.8,1.7,2.7,2.3,2.2,2.0,2.9,2.1,1.1,1.8,2.0,0.9,0.2,2.0,1.6
15-MAR-2012,3.8,1.0,2.7,1.7,1.5,4.7,3.0,1.3,1.9,1.8,1.4,2.8,3.1,2.5,2.3,1.6,1.9,1.2,2.7,1.6,3.0,3.1,3.1,1.8
16-MAR-2012,2.2,3.8,3.0,0.3,0.9,0.9,1.9,1.1,0.8,2.0,1.8,2.0,2.1,3.3,3.5,2.2,2.3,3.0,4.5,0.6,6.1,2.0,2.3,4.1
17-MAR-2012,1.4,1.1,1.1,1.0,1.7,2.3,1.0,0.9,1.4,2.0,1.1,3.3,2.5,2.4,2.0,2.0,3.0,2.7,2.6,2.2,1.7,1.3,2.0,1.7
18-MAR-2012,2.0,0.9,0.5,0.7,1.6,0.6,2.5,1.5,0.8,1.3,3.0,1.6,1.7,1.5,2.3,1.3,1.2,7.0,3.6,4.4,2.6,1.4,0.6,2.4
