"","Date","Hour","WindSpeed"
"289",2012-01-13,0,1.8
"290",2012-01-13,1,1.8
"291",2012-01-13,2,2.3
"292",2012-01-13,3,2.6
"293",2012-01-13,4,1.8
"294",2012-01-13,5,0.7
"295",2012-01-13,6,2.1
"296",2012-01-13,7,2.3
"297",2012-01-13,8,1.7
"298",2012-01-13,9,1.7
"299",2012-01-13,10,2.1
"300",2012-01-13,11,3.1
"301",2012-01-13,12,3.3
"302",2012-01-13,13,2.4
"303",2012-01-13,14,2.1
"304",2012-01-13,15,4.4
"305",2012-01-13,16,2.7
"306",2012-01-13,17,2.9
"307",2012-01-13,18,2.4
"308",2012-01-13,19,2.7
"309",2012-01-13,20,3.2
"310",2012-01-13,21,1.3
"311",2012-01-13,22,1.4
"312",2012-01-13,23,3.3
"313",2012-01-14,0,5.1
"314",2012-01-14,1,3.2
"315",2012-01-14,2,3.1
"316",2012-01-14,3,2
"317",2012-01-14,4,3.4
"318",2012-01-14,5,1.8
"319",2012-01-14,6,2
"320",2012-01-14,7,3.3
"321",2012-01-14,8,2.9
"322",2012-01-14,9,2.6
"323",2012-01-14,10,3.8
"324",2012-01-14,11,2.3
"325",2012-01-14,12,3
"326",2012-01-14,13,1.8
"327",2012-01-14,14,4
"328",2012-01-14,15,3.4
"329",2012-01-14,16,2
"330",2012-01-14,17,2.4
"331",2012-01-14,18,2.3
"332",2012-01-14,19,1.8
"333",2012-01-14,20,2.4
"334",2012-01-14,21,2.7
"335",2012-01-14,22,1.6
"336",2012-01-14,23,4.7
"337",2012-01-15,0,1.6
"338",2012-01-15,1,2.9
"339",2012-01-15,2,2.7
"340",2012-01-15,3,3.5
"341",2012-01-15,4,3.2
"342",2012-01-15,5,3
"343",2012-01-15,6,2.8
"344",2012-01-15,7,2.5
"345",2012-01-15,8,1.9
"346",2012-01-15,9,1.7
"347",2012-01-15,10,1.8
"348",2012-01-15,11,2
"349",2012-01-15,12,3.6
"350",2012-01-15,13,3
"351",2012-01-15,14,3.7
"352",2012-01-15,15,5.3
"353",2012-01-15,16,4.1
"354",2012-01-15,17,2.9
"355",2012-01-15,18,3.3
"356",2012-01-15,19,4
"357",2012-01-15,20,2.7
"358",2012-01-15,21,1.6
"359",2012-01-15,22,1.3
"360",2012-01-15,23,1.4
"361",2012-01-16,0,1.2
"362",2012-01-16,1,2.8
"363",2012-01-16,2,3
"364",2012-01-16,3,2.9
"365",2012-01-16,4,2.9
"366",2012-01-16,5,2.6
"367",2012-01-16,6,3.2
"368",2012-01-16,7,2.5
"369",2012-01-16,8,2.5
"370",2012-01-16,9,2.1
"371",2012-01-16,10,2.9
"372",2012-01-16,11,3.9
"373",2012-01-16,12,3.3
"374",2012-01-16,13,2.7
"375",2012-01-16,14,3.7
"376",2012-01-16,15,2.8
"377",2012-01-16,16,3.2
"378",2012-01-16,17,3
"379",2012-01-16,18,2.9
"380",2012-01-16,19,2.4
"381",2012-01-16,20,1.7
"382",2012-01-16,21,0.7
"383",2012-01-16,22,0.4
"384",2012-01-16,23,2.7
"385",2012-01-17,0,2.3
"386",2012-01-17,1,2.3
"387",2012-01-17,2,3
"388",2012-01-17,3,1.9
"389",2012-01-17,4,1.5
"390",2012-01-17,5,1.2
"391",2012-01-17,6,0.6
"392",2012-01-17,7,0.6
"393",2012-01-17,8,1.3
"394",2012-01-17,9,1.3
"395",2012-01-17,10,1.3
"396",2012-01-17,11,0.9
"397",2012-01-17,12,1.9
"398",2012-01-17,13,1.2
"399",2012-01-17,14,2
"400",2012-01-17,15,2
"401",2012-01-17,16,2.9
"402",2012-01-17,17,1.7
"403",2012-01-17,18,2.5
"404",2012-01-17,19,2.4
"405",2012-01-17,20,0.7
"406",2012-01-17,21,3.1
"407",2012-01-17,22,2.6
"408",2012-01-17,23,1.3
"409",2012-01-18,0,0.9
"410",2012-01-18,1,0.8
"411",2012-01-18,2,1.6
"412",2012-01-18,3,2.7
"413",2012-01-18,4,2.3
"414",2012-01-18,5,2.1
"415",2012-01-18,6,3.2
"416",2012-01-18,7,1
"417",2012-01-18,8,0.9
"418",2012-01-18,9,1.4
"419",2012-01-18,10,1
"420",2012-01-18,11,2.4
"421",2012-01-18,12,2.6
"422",2012-01-18,13,2.6
"423",2012-01-18,14,2.8
"424",2012-01-18,15,3.6
"425",2012-01-18,16,3.3
"426",2012-01-18,17,3.5
"427",2012-01-18,18,3.1
"428",2012-01-18,19,4
"429",2012-01-18,20,1
"430",2012-01-18,21,2.7
"431",2012-01-18,22,1.7
"432",2012-01-18,23,0.6
"433",2012-01-19,0,1.3
"434",2012-01-19,1,1.5
"435",2012-01-19,2,1.4
"436",2012-01-19,3,1.2
"437",2012-01-19,4,1.9
"438",2012-01-19,5,1.3
"439",2012-01-19,6,1.8
"440",2012-01-19,7,2.3
"441",2012-01-19,8,2.3
"442",2012-01-19,9,1
"443",2012-01-19,10,2.5
"444",2012-01-19,11,2.6
"445",2012-01-19,12,2
"446",2012-01-19,13,2.4
"447",2012-01-19,14,2.8
"448",2012-01-19,15,2.1
"449",2012-01-19,16,2.6
"450",2012-01-19,17,1.6
"451",2012-01-19,18,2.1
"452",2012-01-19,19,3.7
"453",2012-01-19,20,3.2
"454",2012-01-19,21,3.1
"455",2012-01-19,22,3.2
"456",2012-01-19,23,2.6
"457",2012-01-20,0,1.7
"458",2012-01-20,1,4.5
"459",2012-01-20,2,3.2
"460",2012-01-20,3,1.4
"461",2012-01-20,4,1
"462",2012-01-20,5,1.8
"463",2012-01-20,6,1.2
"464",2012-01-20,7,1
"465",2012-01-20,8,0.3
"466",2012-01-20,9,0.3
"467",2012-01-20,10,1.4
"468",2012-01-20,11,0.7
"469",2012-01-20,12,1.9
"470",2012-01-20,13,2.7
"471",2012-01-20,14,3
"472",2012-01-20,15,2.4
"473",2012-01-20,16,2.3
"474",2012-01-20,17,3.6
"475",2012-01-20,18,3.2
"476",2012-01-20,19,2.2
"477",2012-01-20,20,3.5
"478",2012-01-20,21,5.7
"479",2012-01-20,22,2.2
"480",2012-01-20,23,2.3
"481",2012-01-21,0,1.6
"482",2012-01-21,1,2
"483",2012-01-21,2,2.3
"484",2012-01-21,3,2.9
"485",2012-01-21,4,1.5
"486",2012-01-21,5,1.8
"487",2012-01-21,6,1
"488",2012-01-21,7,1.4
"489",2012-01-21,8,1.1
"490",2012-01-21,9,2.5
"491",2012-01-21,10,1.4
"492",2012-01-21,11,3.2
"493",2012-01-21,12,2.7
"494",2012-01-21,13,3.5
"495",2012-01-21,14,2.1
"496",2012-01-21,15,2.9
"497",2012-01-21,16,3.2
"498",2012-01-21,17,3
"499",2012-01-21,18,2.7
"500",2012-01-21,19,3.7
"501",2012-01-21,20,2.2
"502",2012-01-21,21,1.4
"503",2012-01-21,22,4.8
"504",2012-01-21,23,1.6
"505",2012-01-22,0,1.8
"506",2012-01-22,1,1.4
"507",2012-01-22,2,1.7
"508",2012-01-22,3,1.3
"509",2012-01-22,4,1
"510",2012-01-22,5,1.8
"511",2012-01-22,6,1.3
"512",2012-01-22,7,0.9
"513",2012-01-22,8,0.4
"514",2012-01-22,9,0.9
"515",2012-01-22,10,1.4
"516",2012-01-22,11,1.3
"517",2012-01-22,12,1.4
"518",2012-01-22,13,2.2
"519",2012-01-22,14,1.6
"520",2012-01-22,15,2
"521",2012-01-22,16,2
"522",2012-01-22,17,1.7
"523",2012-01-22,18,3.7
"524",2012-01-22,19,2.3
"525",2012-01-22,20,3.7
"526",2012-01-22,21,0.9
"527",2012-01-22,22,1.8
"528",2012-01-22,23,2.2
"529",2012-01-23,0,2.5
"530",2012-01-23,1,2.2
"531",2012-01-23,2,1.6
"532",2012-01-23,3,1.4
"533",2012-01-23,4,0.9
"534",2012-01-23,5,1.3
"535",2012-01-23,6,1.1
"536",2012-01-23,7,1
"537",2012-01-23,8,1
"538",2012-01-23,9,1
"539",2012-01-23,10,1.3
"540",2012-01-23,11,2.3
"541",2012-01-23,12,3.2
"542",2012-01-23,13,2.3
"543",2012-01-23,14,3.2
"544",2012-01-23,15,2.5
"545",2012-01-23,16,3.1
"546",2012-01-23,17,2.8
"547",2012-01-23,18,1.3
"548",2012-01-23,19,1.2
"549",2012-01-23,20,1.3
"550",2012-01-23,21,0.7
"551",2012-01-23,22,1.3
"552",2012-01-23,23,0.5
"553",2012-01-24,0,1.9
"554",2012-01-24,1,3.9
"555",2012-01-24,2,3.9
"556",2012-01-24,3,2.2
"557",2012-01-24,4,2.1
"558",2012-01-24,5,1.6
"559",2012-01-24,6,2.2
"560",2012-01-24,7,0.9
"561",2012-01-24,8,1.3
"562",2012-01-24,9,1.8
"563",2012-01-24,10,2
"564",2012-01-24,11,3.1
"565",2012-01-24,12,3.4
"566",2012-01-24,13,2.8
"567",2012-01-24,14,1.7
"568",2012-01-24,15,1.9
"569",2012-01-24,16,1.7
"570",2012-01-24,17,3.3
"571",2012-01-24,18,3.3
"572",2012-01-24,19,1.6
"573",2012-01-24,20,0.4
"574",2012-01-24,21,1
"575",2012-01-24,22,1.8
"576",2012-01-24,23,0.6
"577",2012-01-25,0,2.2
